PASK,PhosphoELM,"('Q96RG2',)"
PCTAIRE1,PhosphoELM,"('P46460',)"
PDGFR_alpha,PhosphoELM,"('P16234',)"
PDGFR_beta,PhosphoELM,"('P06241', 'P09619', 'P26450', 'Q06124', 'P05622')"
PDGFR_group,PhosphoELM,"('P09619', 'P20936', 'ENSP00000352232')"
PDHK1,PhosphoELM,"('P08559',)"
PDHK2,PhosphoELM,"('P08559',)"
PDHK3,PhosphoELM,"('P08559',)"
PDHK4,PhosphoELM,"('P08559',)"
PDK-1,PhosphoELM,"('O15530', 'P23443', 'P31749', 'P31751', 'Q02750', 'Q13153', 'Q15418', 'Q16512', 'Q99683', 'P05106', 'O08874', 'Q05655', 'Q9Y243', 'Q05513', 'O00141', 'P18654', 'Q02156', 'Q16513', 'Q96BR1', 'P36507', 'P05132', 'Q9HBY8', 'P31750', 'Q9D2E1', 'P09215')"
PDK-2,PhosphoELM,"('O00141',)"
PDKC,PhosphoELM,"('P31946', 'Q04917')"
PHK_group,PhosphoELM,"('P02641', 'P02643', 'P02646', 'P11217', 'P18688', 'P11216', 'Q16816', 'P46020', 'P10636-8')"
